
Current Date --> 2024-08-12 00:00:00
Machine ID --> M003
 -> 2024-08-12 12:48:05 1 953 1723447085
 -> 2024-08-12 12:48:15 1 953 1723447095
 -> 2024-08-12 12:48:25 1 953 1723447105
 -> 2024-08-12 12:48:35 1 953 1723447115
 -> 2024-08-12 12:48:45 1 953 1723447125
 -> 2024-08-12 12:48:55 1 953 1723447135
 -> 2024-08-12 12:49:05 1 953 1723447145
 -> 2024-08-12 12:49:15 1 953 1723447155
 -> 2024-08-12 12:49:25 1 953 1723447165
 -> 2024-08-12 12:49:35 1 953 1723447175
 -> 2024-08-12 12:49:45 1 953 1723447185
 -> 2024-08-12 12:49:55 1 953 1723447195
 -> 2024-08-12 12:50:05 1 953 1723447205
 -> 2024-08-12 12:50:15 1 953 1723447215
 -> 2024-08-12 12:50:25 1 953 1723447225
 -> 2024-08-12 12:50:35 1 953 1723447235
 -> 2024-08-12 12:50:45 1 953 1723447245
 -> 2024-08-12 12:50:55 1 953 1723447255
 -> 2024-08-12 12:51:05 1 953 1723447265
 -> 2024-08-12 12:51:15 1 953 1723447275
 -> 2024-08-12 12:51:25 1 953 1723447285
 -> 2024-08-12 12:51:35 1 953 1723447295
 -> 2024-08-12 12:51:45 1 953 1723447305
 -> 2024-08-12 12:51:55 1 953 1723447315
 -> 2024-08-12 12:52:05 1 953 1723447325
 -> 2024-08-12 12:52:15 1 953 1723447335
 -> 2024-08-12 12:52:25 1 953 1723447345
 -> 2024-08-12 12:52:35 1 953 1723447355
 -> 2024-08-12 12:52:45 1 953 1723447365
 -> 2024-08-12 12:52:55 1 953 1723447375
 -> 2024-08-12 12:53:05 1 953 1723447385
 -> 2024-08-12 12:53:15 1 953 1723447395
 -> 2024-08-12 12:53:25 1 953 1723447405
 -> 2024-08-12 12:53:35 1 953 1723447415
 -> 2024-08-12 12:53:45 1 953 1723447425
 -> 2024-08-12 12:53:55 1 953 1723447435
 -> 2024-08-12 12:54:05 1 953 1723447445
 -> 2024-08-12 12:54:15 1 953 1723447455
 -> 2024-08-12 12:54:25 1 953 1723447465
 -> 2024-08-12 12:54:35 1 953 1723447475
 -> 2024-08-12 12:54:45 1 953 1723447485
 -> 2024-08-12 12:54:55 1 953 1723447495
 -> 2024-08-12 12:55:05 1 953 1723447505
 -> 2024-08-12 12:55:15 1 953 1723447515
 -> 2024-08-12 12:55:25 1 953 1723447525
 -> 2024-08-12 12:55:35 1 953 1723447535
 -> 2024-08-12 12:55:45 1 953 1723447545
 -> 2024-08-12 12:55:55 1 953 1723447555
 -> 2024-08-12 12:56:05 1 953 1723447565
 -> 2024-08-12 12:56:15 1 953 1723447575
 -> 2024-08-12 12:56:25 1 953 1723447585
 -> 2024-08-12 12:56:35 1 953 1723447595
 -> 2024-08-12 12:56:45 1 953 1723447605
 -> 2024-08-12 12:56:55 1 953 1723447615
 -> 2024-08-12 12:57:05 1 953 1723447625
 -> 2024-08-12 12:57:15 1 953 1723447635
 -> 2024-08-12 12:57:25 1 953 1723447645
 -> 2024-08-12 12:57:35 1 953 1723447655
 -> 2024-08-12 12:57:45 1 953 1723447665
 -> 2024-08-12 12:57:55 1 953 1723447675
 -> 2024-08-12 12:58:05 1 953 1723447685
 -> 2024-08-12 12:58:15 1 953 1723447695
 -> 2024-08-12 12:58:25 1 953 1723447705
 -> 2024-08-12 12:58:35 1 953 1723447715
 -> 2024-08-12 12:58:45 1 953 1723447725
 -> 2024-08-12 12:58:55 1 953 1723447735
 -> 2024-08-12 12:59:05 1 953 1723447745
 -> 2024-08-12 12:59:15 1 953 1723447755
 -> 2024-08-12 12:59:25 1 953 1723447765
 -> 2024-08-12 12:59:35 1 953 1723447775
 -> 2024-08-12 12:59:45 1 953 1723447785
 -> 2024-08-12 12:59:55 1 953 1723447795
 -> 2024-08-12 13:00:05 1 953 1723447805
 -> 2024-08-12 13:00:15 1 953 1723447815
 -> 2024-08-12 13:00:25 1 953 1723447825
 -> 2024-08-12 13:00:35 1 953 1723447835
 -> 2024-08-12 13:00:45 1 953 1723447845
 -> 2024-08-12 13:00:55 1 953 1723447855
 -> 2024-08-12 13:01:05 1 953 1723447865
 -> 2024-08-12 13:01:15 1 953 1723447875
 -> 2024-08-12 13:01:25 1 953 1723447885
 -> 2024-08-12 13:01:35 1 953 1723447895
 -> 2024-08-12 13:01:45 1 953 1723447905
 -> 2024-08-12 13:01:55 1 953 1723447915
 -> 2024-08-12 13:02:05 1 953 1723447925
 -> 2024-08-12 13:02:15 1 953 1723447935
 -> 2024-08-12 13:02:25 1 953 1723447945
 -> 2024-08-12 13:02:35 1 953 1723447955
 -> 2024-08-12 13:02:45 1 953 1723447965
 -> 2024-08-12 13:02:55 1 953 1723447975
 -> 2024-08-12 13:03:05 1 953 1723447985
 -> 2024-08-12 13:03:15 1 953 1723447995
 -> 2024-08-12 13:03:25 1 953 1723448005
 -> 2024-08-12 13:03:35 1 953 1723448015
 -> 2024-08-12 13:03:45 1 953 1723448025
 -> 2024-08-12 13:03:55 1 953 1723448035
 -> 2024-08-12 13:04:05 1 953 1723448045
 -> 2024-08-12 13:04:15 1 953 1723448055
 -> 2024-08-12 13:04:25 1 953 1723448065
 -> 2024-08-12 13:04:35 1 953 1723448075
 -> 2024-08-12 13:04:45 1 953 1723448085
 -> 2024-08-12 13:04:55 1 953 1723448095
 -> 2024-08-12 13:05:05 1 953 1723448105
 -> 2024-08-12 13:05:15 1 953 1723448115
 -> 2024-08-12 13:05:25 1 953 1723448125
 -> 2024-08-12 13:05:35 1 953 1723448135
 -> 2024-08-12 13:05:45 1 953 1723448145
 -> 2024-08-12 13:05:55 1 953 1723448155
 -> 2024-08-12 13:06:05 1 953 1723448165
 -> 2024-08-12 13:06:15 1 953 1723448175
 -> 2024-08-12 13:06:25 1 953 1723448185
 -> 2024-08-12 13:06:35 1 953 1723448195
 -> 2024-08-12 13:06:45 1 953 1723448205
 -> 2024-08-12 13:06:55 1 953 1723448215
 -> 2024-08-12 13:07:05 1 953 1723448225
 -> 2024-08-12 13:07:15 1 953 1723448235
 -> 2024-08-12 13:07:25 1 953 1723448245
 -> 2024-08-12 13:07:35 1 953 1723448255
 -> 2024-08-12 13:07:45 1 953 1723448265
 -> 2024-08-12 13:07:55 1 953 1723448275
 -> 2024-08-12 13:08:05 1 953 1723448285
 -> 2024-08-12 13:08:15 1 953 1723448295
 -> 2024-08-12 13:08:25 1 953 1723448305
 -> 2024-08-12 13:08:35 1 953 1723448315
 -> 2024-08-12 13:08:45 1 953 1723448325
 -> 2024-08-12 13:08:55 1 953 1723448335
 -> 2024-08-12 13:09:05 1 953 1723448345
 -> 2024-08-12 13:09:15 1 953 1723448355
 -> 2024-08-12 13:09:25 1 953 1723448365
 -> 2024-08-12 13:09:35 1 953 1723448375
 -> 2024-08-12 13:09:45 1 953 1723448385
 -> 2024-08-12 13:09:55 1 953 1723448395
 -> 2024-08-12 13:10:05 1 953 1723448405
 -> 2024-08-12 13:10:15 1 953 1723448415
 -> 2024-08-12 13:10:25 1 953 1723448425
 -> 2024-08-12 13:10:36 1 953 1723448436
 -> 2024-08-12 13:10:45 1 953 1723448445
 -> 2024-08-12 13:10:56 1 953 1723448456
 -> 2024-08-12 13:11:05 1 953 1723448465
 -> 2024-08-12 13:11:15 1 953 1723448475
 -> 2024-08-12 13:11:25 1 953 1723448485
 -> 2024-08-12 13:11:35 1 953 1723448495
 -> 2024-08-12 13:11:46 1 953 1723448506
 -> 2024-08-12 13:11:55 1 953 1723448515
 -> 2024-08-12 13:12:06 1 953 1723448526
 -> 2024-08-12 13:12:15 1 953 1723448535
 -> 2024-08-12 13:12:26 1 953 1723448546
 -> 2024-08-12 13:12:36 1 953 1723448556
 -> 2024-08-12 13:12:46 1 953 1723448566
 -> 2024-08-12 13:12:56 1 953 1723448576
 -> 2024-08-12 13:13:06 1 953 1723448586
 -> 2024-08-12 13:13:16 1 953 1723448596
 -> 2024-08-12 13:13:26 1 953 1723448606
 -> 2024-08-12 13:13:36 1 953 1723448616
 -> 2024-08-12 13:13:46 1 953 1723448626
 -> 2024-08-12 13:13:56 1 953 1723448636
 -> 2024-08-12 13:14:06 1 953 1723448646
 -> 2024-08-12 13:14:16 1 953 1723448656
 -> 2024-08-12 13:14:26 1 953 1723448666
 -> 2024-08-12 13:14:36 1 953 1723448676
 -> 2024-08-12 13:14:46 1 953 1723448686
 -> 2024-08-12 13:14:56 1 953 1723448696
 -> 2024-08-12 13:15:06 1 953 1723448706
 -> 2024-08-12 13:15:16 1 953 1723448716
 -> 2024-08-12 13:15:26 1 953 1723448726
 -> 2024-08-12 13:15:36 1 953 1723448736
 -> 2024-08-12 13:15:46 1 953 1723448746
 -> 2024-08-12 13:15:56 1 953 1723448756
 -> 2024-08-12 13:16:06 1 953 1723448766
 -> 2024-08-12 13:16:16 1 953 1723448776
 -> 2024-08-12 13:16:26 1 953 1723448786
 -> 2024-08-12 13:16:36 1 953 1723448796
 -> 2024-08-12 13:16:46 1 953 1723448806
 -> 2024-08-12 13:16:56 1 953 1723448816
 -> 2024-08-12 13:17:06 1 953 1723448826
 -> 2024-08-12 13:17:16 1 953 1723448836
 -> 2024-08-12 13:17:26 1 953 1723448846
 -> Total = 953

2024-08-12 13:17:30 2024-08-12 14:02:28
 -> lastdata = 2024-08-12 13:17:26 1 953 1723448846
 -> LastIncCount 953
 -> 2024-08-12 13:17:36 1 953 1723448856
 -> 2024-08-12 13:17:46 1 953 1723448866
 -> 2024-08-12 13:17:56 1 953 1723448876
 -> 2024-08-12 13:18:06 1 953 1723448886
 -> 2024-08-12 13:18:16 1 953 1723448896
 -> 2024-08-12 13:18:26 1 953 1723448906
 -> 2024-08-12 13:18:36 1 953 1723448916
 -> 2024-08-12 13:18:46 1 953 1723448926
 -> 2024-08-12 13:18:56 1 953 1723448936
 -> 2024-08-12 13:19:06 1 953 1723448946
 -> 2024-08-12 13:19:16 1 953 1723448956
 -> 2024-08-12 13:19:26 1 953 1723448966
 -> 2024-08-12 13:19:36 1 953 1723448976
 -> 2024-08-12 13:19:46 1 953 1723448986
 -> 2024-08-12 13:19:56 1 953 1723448996
 -> 2024-08-12 13:20:06 1 953 1723449006
 -> 2024-08-12 13:20:16 1 953 1723449016
 -> 2024-08-12 13:20:26 1 953 1723449026
 -> 2024-08-12 13:20:36 1 953 1723449036
 -> 2024-08-12 13:20:46 1 953 1723449046
 -> 2024-08-12 13:20:56 1 953 1723449056
 -> 2024-08-12 13:21:06 1 953 1723449066
 -> 2024-08-12 13:21:16 1 953 1723449076
 -> 2024-08-12 13:21:26 1 953 1723449086
 -> 2024-08-12 13:21:36 1 953 1723449096
 -> 2024-08-12 13:21:46 1 953 1723449106
 -> 2024-08-12 13:21:56 1 953 1723449116
 -> 2024-08-12 13:22:06 1 953 1723449126
 -> 2024-08-12 13:22:16 1 953 1723449136
 -> 2024-08-12 13:22:26 1 953 1723449146
 -> 2024-08-12 13:22:36 1 953 1723449156
 -> 2024-08-12 13:22:46 1 953 1723449166
 -> 2024-08-12 13:22:56 1 953 1723449176
 -> 2024-08-12 13:23:06 1 953 1723449186
 -> 2024-08-12 13:23:16 1 953 1723449196
 -> 2024-08-12 13:23:26 1 953 1723449206
 -> 2024-08-12 13:23:36 1 953 1723449216
 -> 2024-08-12 13:23:46 1 953 1723449226
 -> 2024-08-12 13:23:56 1 953 1723449236
 -> 2024-08-12 13:24:06 1 953 1723449246
 -> 2024-08-12 13:24:16 1 953 1723449256
 -> 2024-08-12 13:24:26 1 953 1723449266
 -> 2024-08-12 13:24:36 1 953 1723449276
 -> 2024-08-12 13:24:46 1 953 1723449286
 -> 2024-08-12 13:24:56 1 953 1723449296
 -> 2024-08-12 13:25:06 1 953 1723449306
 -> 2024-08-12 13:25:16 1 953 1723449316
 -> 2024-08-12 13:25:26 1 953 1723449326
 -> 2024-08-12 13:25:36 1 953 1723449336
 -> 2024-08-12 13:25:46 1 953 1723449346
 -> 2024-08-12 13:25:56 1 953 1723449356
 -> 2024-08-12 13:26:06 1 953 1723449366
 -> 2024-08-12 13:26:16 1 953 1723449376
 -> 2024-08-12 13:26:26 1 953 1723449386
 -> 2024-08-12 13:26:36 1 953 1723449396
 -> 2024-08-12 13:26:46 1 953 1723449406
 -> 2024-08-12 13:26:56 1 953 1723449416
 -> 2024-08-12 13:27:06 1 953 1723449426
 -> 2024-08-12 13:27:16 1 953 1723449436
 -> 2024-08-12 13:27:26 1 953 1723449446
 -> 2024-08-12 13:27:36 1 953 1723449456
 -> 2024-08-12 13:27:46 1 953 1723449466
 -> 2024-08-12 13:27:56 1 953 1723449476
 -> 2024-08-12 13:28:06 1 953 1723449486
 -> 2024-08-12 13:28:16 1 953 1723449496
 -> 2024-08-12 13:28:26 1 953 1723449506
 -> 2024-08-12 13:28:36 1 953 1723449516
 -> 2024-08-12 13:28:46 1 953 1723449526
 -> 2024-08-12 13:28:56 1 953 1723449536
 -> 2024-08-12 13:29:06 1 953 1723449546
 -> 2024-08-12 13:29:16 1 953 1723449556
 -> 2024-08-12 13:29:26 1 953 1723449566
 -> 2024-08-12 13:29:36 1 953 1723449576
 -> 2024-08-12 13:29:46 1 953 1723449586
 -> 2024-08-12 13:29:56 1 953 1723449596
 -> 2024-08-12 13:30:06 1 953 1723449606
 -> 2024-08-12 13:30:16 1 953 1723449616
 -> 2024-08-12 13:30:26 1 953 1723449626
 -> 2024-08-12 13:30:36 1 953 1723449636
 -> 2024-08-12 13:30:46 1 953 1723449646
 -> 2024-08-12 13:30:56 1 953 1723449656
 -> 2024-08-12 13:31:06 1 953 1723449666
 -> 2024-08-12 13:31:16 1 953 1723449676
 -> 2024-08-12 13:31:26 1 953 1723449686
 -> 2024-08-12 13:31:36 1 953 1723449696
 -> 2024-08-12 13:31:46 1 953 1723449706
 -> 2024-08-12 13:31:56 1 953 1723449716
 -> 2024-08-12 13:32:06 1 953 1723449726
 -> 2024-08-12 13:32:16 1 953 1723449736
 -> 2024-08-12 13:32:26 1 953 1723449746
 -> 2024-08-12 13:32:36 1 953 1723449756
 -> 2024-08-12 13:32:46 1 953 1723449766
 -> 2024-08-12 13:32:56 1 953 1723449776
 -> 2024-08-12 13:33:06 1 953 1723449786
 -> 2024-08-12 13:33:16 1 953 1723449796
 -> 2024-08-12 13:33:26 1 953 1723449806
 -> 2024-08-12 13:33:36 1 953 1723449816
 -> 2024-08-12 13:33:46 1 953 1723449826
 -> 2024-08-12 13:33:56 1 953 1723449836
 -> 2024-08-12 13:34:06 1 953 1723449846
 -> 2024-08-12 13:34:16 1 953 1723449856
 -> 2024-08-12 13:34:26 1 953 1723449866
 -> 2024-08-12 13:34:36 1 953 1723449876
 -> 2024-08-12 13:34:47 1 953 1723449887
 -> 2024-08-12 13:34:56 1 953 1723449896
 -> 2024-08-12 13:35:07 1 953 1723449907
 -> 2024-08-12 13:35:16 1 953 1723449916
 -> 2024-08-12 13:35:27 1 953 1723449927
 -> 2024-08-12 13:35:36 1 953 1723449936
 -> 2024-08-12 13:35:47 1 953 1723449947
 -> 2024-08-12 13:35:56 1 953 1723449956
 -> 2024-08-12 13:36:07 1 953 1723449967
 -> 2024-08-12 13:36:17 1 953 1723449977
 -> 2024-08-12 13:36:26 1 953 1723449986
 -> 2024-08-12 13:36:37 1 953 1723449997
 -> 2024-08-12 13:36:46 1 953 1723450006
 -> 2024-08-12 13:36:57 1 953 1723450017
 -> 2024-08-12 13:37:07 1 953 1723450027
 -> 2024-08-12 13:37:17 1 953 1723450037
 -> 2024-08-12 13:37:27 1 953 1723450047
 -> 2024-08-12 13:37:37 1 953 1723450057
 -> 2024-08-12 13:37:47 1 953 1723450067
 -> 2024-08-12 13:37:57 1 953 1723450077
 -> 2024-08-12 13:38:07 1 953 1723450087
 -> 2024-08-12 13:38:17 1 953 1723450097
 -> 2024-08-12 13:38:27 1 953 1723450107
 -> 2024-08-12 13:38:37 1 953 1723450117
 -> 2024-08-12 13:38:47 1 953 1723450127
 -> 2024-08-12 13:38:57 1 953 1723450137
 -> 2024-08-12 13:39:07 1 953 1723450147
 -> 2024-08-12 13:39:17 1 953 1723450157
 -> 2024-08-12 13:39:27 1 953 1723450167
 -> 2024-08-12 13:39:37 1 953 1723450177
 -> 2024-08-12 13:39:47 1 953 1723450187
 -> 2024-08-12 13:39:57 1 953 1723450197
 -> 2024-08-12 13:40:07 1 953 1723450207
 -> 2024-08-12 13:40:17 1 953 1723450217
 -> 2024-08-12 13:40:27 1 953 1723450227
 -> 2024-08-12 13:40:37 1 953 1723450237
 -> 2024-08-12 13:40:47 1 953 1723450247
 -> 2024-08-12 13:40:57 1 953 1723450257
 -> 2024-08-12 13:41:07 1 953 1723450267
 -> 2024-08-12 13:41:17 1 953 1723450277
 -> 2024-08-12 13:41:27 1 953 1723450287
 -> 2024-08-12 13:41:37 1 953 1723450297
 -> 2024-08-12 13:41:47 1 953 1723450307
 -> 2024-08-12 13:41:57 1 953 1723450317
 -> 2024-08-12 13:42:07 1 953 1723450327
 -> 2024-08-12 13:42:17 1 953 1723450337
 -> 2024-08-12 13:42:27 1 953 1723450347
 -> 2024-08-12 13:42:37 1 953 1723450357
 -> 2024-08-12 13:42:47 1 953 1723450367
 -> 2024-08-12 13:42:57 1 953 1723450377
 -> 2024-08-12 13:43:07 1 953 1723450387
 -> 2024-08-12 13:43:17 1 953 1723450397
 -> 2024-08-12 13:43:27 1 953 1723450407
 -> 2024-08-12 13:43:37 1 953 1723450417
 -> 2024-08-12 13:43:47 1 953 1723450427
 -> 2024-08-12 13:43:57 1 953 1723450437
 -> 2024-08-12 13:44:07 1 953 1723450447
 -> 2024-08-12 13:44:17 1 953 1723450457
 -> 2024-08-12 13:44:27 1 953 1723450467
 -> 2024-08-12 13:44:37 1 953 1723450477
 -> 2024-08-12 13:44:47 1 953 1723450487
 -> 2024-08-12 13:44:57 1 953 1723450497
 -> 2024-08-12 13:45:07 1 953 1723450507
 -> 2024-08-12 13:45:17 1 953 1723450517
 -> 2024-08-12 13:45:27 1 953 1723450527
 -> 2024-08-12 13:45:37 1 953 1723450537
 -> 2024-08-12 13:45:47 1 953 1723450547
 -> 2024-08-12 13:45:57 1 953 1723450557
 -> 2024-08-12 13:46:07 1 953 1723450567
 -> 2024-08-12 13:46:17 1 953 1723450577
 -> 2024-08-12 13:46:27 1 953 1723450587
 -> 2024-08-12 13:46:37 1 953 1723450597
 -> 2024-08-12 13:46:47 1 953 1723450607
 -> 2024-08-12 13:46:57 1 953 1723450617
 -> 2024-08-12 13:47:07 1 953 1723450627
 -> 2024-08-12 13:47:17 1 953 1723450637
 -> 2024-08-12 13:47:27 1 953 1723450647
 -> 2024-08-12 13:47:37 1 953 1723450657
 -> 2024-08-12 13:47:47 1 953 1723450667
 -> 2024-08-12 13:47:57 1 953 1723450677
 -> 2024-08-12 13:48:07 1 953 1723450687
 -> 2024-08-12 13:48:17 1 953 1723450697
 -> 2024-08-12 13:48:27 1 953 1723450707
 -> 2024-08-12 13:48:37 1 953 1723450717
 -> 2024-08-12 13:48:47 1 953 1723450727
 -> 2024-08-12 13:48:57 1 953 1723450737
 -> 2024-08-12 13:49:07 1 953 1723450747
 -> 2024-08-12 13:49:17 1 953 1723450757
 -> 2024-08-12 13:49:27 1 953 1723450767
 -> 2024-08-12 13:49:37 1 953 1723450777
 -> 2024-08-12 13:49:47 1 953 1723450787
 -> 2024-08-12 13:49:57 1 953 1723450797
 -> 2024-08-12 13:50:07 1 953 1723450807
 -> 2024-08-12 13:50:17 1 953 1723450817
 -> 2024-08-12 13:50:27 1 953 1723450827
 -> 2024-08-12 13:50:37 1 953 1723450837
 -> 2024-08-12 13:50:47 1 953 1723450847
 -> 2024-08-12 13:50:57 1 953 1723450857
 -> 2024-08-12 13:51:07 1 953 1723450867
 -> 2024-08-12 13:51:17 1 953 1723450877
 -> 2024-08-12 13:51:27 1 953 1723450887
 -> 2024-08-12 13:51:37 1 953 1723450897
 -> 2024-08-12 13:51:47 1 953 1723450907
 -> 2024-08-12 13:51:57 1 953 1723450917
 -> 2024-08-12 13:52:07 1 953 1723450927
 -> 2024-08-12 13:52:17 1 953 1723450937
 -> 2024-08-12 13:52:27 1 953 1723450947
 -> 2024-08-12 13:52:37 1 953 1723450957
 -> 2024-08-12 13:52:47 1 953 1723450967
 -> 2024-08-12 13:52:57 1 953 1723450977
 -> 2024-08-12 13:53:07 1 953 1723450987
 -> 2024-08-12 13:53:17 1 953 1723450997
 -> 2024-08-12 13:53:27 1 953 1723451007
 -> 2024-08-12 13:53:37 1 953 1723451017
 -> 2024-08-12 13:53:47 1 953 1723451027
 -> 2024-08-12 13:53:57 1 953 1723451037
 -> 2024-08-12 13:54:07 1 953 1723451047
 -> 2024-08-12 13:54:17 1 953 1723451057
 -> 2024-08-12 13:54:27 1 953 1723451067
 -> 2024-08-12 13:54:37 1 953 1723451077
 -> 2024-08-12 13:54:47 1 953 1723451087
 -> 2024-08-12 13:54:57 1 953 1723451097
 -> 2024-08-12 13:55:07 1 953 1723451107
 -> 2024-08-12 13:55:17 1 953 1723451117
 -> 2024-08-12 13:55:27 1 953 1723451127
 -> 2024-08-12 13:55:37 1 953 1723451137
 -> 2024-08-12 13:55:47 1 953 1723451147
 -> 2024-08-12 13:55:57 1 953 1723451157
 -> 2024-08-12 13:56:07 1 953 1723451167
 -> 2024-08-12 13:56:17 1 953 1723451177
 -> 2024-08-12 13:56:27 1 953 1723451187
 -> 2024-08-12 13:56:37 1 953 1723451197
 -> 2024-08-12 13:56:47 1 953 1723451207
 -> 2024-08-12 13:56:57 1 953 1723451217
 -> 2024-08-12 13:57:07 1 953 1723451227
 -> 2024-08-12 13:57:17 1 953 1723451237
 -> 2024-08-12 13:57:27 1 953 1723451247
 -> 2024-08-12 13:57:37 1 953 1723451257
 -> 2024-08-12 13:57:47 1 953 1723451267
 -> 2024-08-12 13:57:57 1 953 1723451277
 -> 2024-08-12 13:58:07 1 953 1723451287
 -> 2024-08-12 13:58:17 1 953 1723451297
 -> 2024-08-12 13:58:27 1 953 1723451307
 -> 2024-08-12 13:58:38 1 953 1723451318
 -> 2024-08-12 13:58:47 1 953 1723451327
 -> 2024-08-12 13:58:58 1 953 1723451338
 -> 2024-08-12 13:59:08 1 953 1723451348
 -> 2024-08-12 13:59:17 1 953 1723451357
 -> 2024-08-12 13:59:27 1 953 1723451367
 -> 2024-08-12 13:59:38 1 953 1723451378
 -> 2024-08-12 13:59:47 1 953 1723451387
 -> 2024-08-12 13:59:58 1 953 1723451398
 -> 2024-08-12 14:00:08 1 953 1723451408
 -> 2024-08-12 14:00:18 1 953 1723451418
 -> 2024-08-12 14:00:28 1 953 1723451428
 -> 2024-08-12 14:00:38 1 953 1723451438
 -> 2024-08-12 14:00:48 1 953 1723451448
 -> 2024-08-12 14:00:58 1 953 1723451458
 -> 2024-08-12 14:01:08 1 953 1723451468
 -> 2024-08-12 14:01:18 1 953 1723451478
 -> 2024-08-12 14:01:28 1 953 1723451488
 -> 2024-08-12 14:01:38 1 953 1723451498
 -> 2024-08-12 14:01:48 1 953 1723451508
 -> 2024-08-12 14:01:58 1 953 1723451518
 -> 2024-08-12 14:02:08 1 953 1723451528
 -> 2024-08-12 14:02:18 1 953 1723451538
 -> 2024-08-12 14:02:28 1 953 1723451548
 -> Total = 0




shiftnumber= 2
startDate = 2024-08-12
startTime = 14:02:38
endDate = 2024-08-12
endTime = 17:20:35
splited hours= [[('2024-08-12', '14:02:38'), ('2024-08-12', '15:02:38')], [('2024-08-12', '15:02:38'), ('2024-08-12', '16:02:38')], [('2024-08-12', '16:02:38'), ('2024-08-12', '17:02:38')], [('2024-08-12', '17:02:38'), ('2024-08-12', '17:20:35')]]
2024-08-12 14:02:38 2024-08-12 15:02:38
 -> lastdata = 2024-08-12 14:02:28 1 953 1723451548
 -> LastIncCount 953
 -> 2024-08-12 14:02:38 2 953 1723451558
 -> 2024-08-12 14:02:48 2 953 1723451568
 -> 2024-08-12 14:02:58 2 953 1723451578
 -> 2024-08-12 14:03:08 2 953 1723451588
 -> 2024-08-12 14:03:18 2 953 1723451598
 -> 2024-08-12 14:03:28 2 953 1723451608
 -> 2024-08-12 14:03:38 2 953 1723451618
 -> 2024-08-12 14:03:48 2 953 1723451628
 -> 2024-08-12 14:03:58 2 953 1723451638
 -> 2024-08-12 14:04:08 2 953 1723451648
 -> 2024-08-12 14:04:18 2 953 1723451658
 -> 2024-08-12 14:04:28 2 953 1723451668
 -> 2024-08-12 14:04:38 2 953 1723451678
 -> 2024-08-12 14:04:48 2 953 1723451688
 -> 2024-08-12 14:04:58 2 953 1723451698
 -> 2024-08-12 14:05:08 2 953 1723451708
 -> 2024-08-12 14:05:18 2 953 1723451718
 -> 2024-08-12 14:05:28 2 953 1723451728
 -> 2024-08-12 14:05:38 2 953 1723451738
 -> 2024-08-12 14:05:48 2 953 1723451748
 -> 2024-08-12 14:05:58 2 953 1723451758
 -> 2024-08-12 14:06:08 2 953 1723451768
 -> 2024-08-12 14:06:18 2 953 1723451778
 -> 2024-08-12 14:06:28 2 953 1723451788
 -> 2024-08-12 14:06:38 2 953 1723451798
 -> 2024-08-12 14:06:48 2 953 1723451808
 -> 2024-08-12 14:06:58 2 953 1723451818
 -> 2024-08-12 14:07:08 2 953 1723451828
 -> 2024-08-12 14:07:18 2 953 1723451838
 -> 2024-08-12 14:07:28 2 953 1723451848
 -> 2024-08-12 14:07:38 2 953 1723451858
 -> 2024-08-12 14:07:48 2 953 1723451868
 -> 2024-08-12 14:07:58 2 953 1723451878
 -> 2024-08-12 14:08:08 2 953 1723451888
 -> 2024-08-12 14:08:18 2 953 1723451898
 -> 2024-08-12 14:08:28 2 953 1723451908
 -> 2024-08-12 14:08:38 2 953 1723451918
 -> 2024-08-12 14:08:48 2 953 1723451928
 -> 2024-08-12 14:08:58 2 953 1723451938
 -> 2024-08-12 14:09:08 2 953 1723451948
 -> 2024-08-12 14:09:18 2 953 1723451958
 -> 2024-08-12 14:09:28 2 953 1723451968
 -> 2024-08-12 14:09:38 2 953 1723451978
 -> 2024-08-12 14:09:48 2 953 1723451988
 -> 2024-08-12 14:09:58 2 953 1723451998
 -> 2024-08-12 14:10:08 2 953 1723452008
 -> 2024-08-12 14:10:18 2 953 1723452018
 -> 2024-08-12 14:10:28 2 953 1723452028
 -> 2024-08-12 14:10:38 2 953 1723452038
 -> 2024-08-12 14:10:48 2 953 1723452048
 -> 2024-08-12 14:10:58 2 953 1723452058
 -> 2024-08-12 14:11:08 2 953 1723452068
 -> 2024-08-12 14:11:18 2 953 1723452078
 -> 2024-08-12 14:11:28 2 953 1723452088
 -> 2024-08-12 14:11:38 2 953 1723452098
 -> 2024-08-12 14:11:48 2 953 1723452108
 -> 2024-08-12 14:11:58 2 953 1723452118
 -> 2024-08-12 14:12:08 2 953 1723452128
 -> 2024-08-12 14:12:18 2 953 1723452138
 -> 2024-08-12 14:12:28 2 953 1723452148
 -> 2024-08-12 14:12:38 2 953 1723452158
 -> 2024-08-12 14:12:48 2 953 1723452168
 -> 2024-08-12 14:12:58 2 953 1723452178
 -> 2024-08-12 14:13:08 2 953 1723452188
 -> 2024-08-12 14:13:18 2 953 1723452198
 -> 2024-08-12 14:13:28 2 953 1723452208
 -> 2024-08-12 14:13:38 2 953 1723452218
 -> 2024-08-12 14:13:48 2 953 1723452228
 -> 2024-08-12 14:13:58 2 953 1723452238
 -> 2024-08-12 14:14:08 2 953 1723452248
 -> 2024-08-12 14:14:18 2 953 1723452258
 -> 2024-08-12 14:14:28 2 953 1723452268
 -> 2024-08-12 14:14:38 2 953 1723452278
 -> 2024-08-12 14:14:48 2 953 1723452288
 -> 2024-08-12 14:14:58 2 953 1723452298
 -> 2024-08-12 14:15:08 2 953 1723452308
